,location,substrate,treatment,concentration,replicate,slope,int,slope.se,int.se,pval,rsq,n,year
175,BS2,Leu-AMC,live,250,A,4954.139212,5471.567336,103.8051084,164.6552729,0.013337275,0.999561156,3,2013
176,BS2,Leu-AMC,live,300,A,4811.212601,5767.401747,10.62889972,16.8595208,0.001406414,0.999995119,3,2013
177,BS2,Leu-AMC,live,400,A,7427.814722,7571.236744,212.6316101,339.1630324,0.018219158,0.9991812,3,2013
178,BS2,Leu-AMC,live,400,B,5353.168551,6937.840184,93.79605809,149.6116005,0.011153453,0.999693088,3,2013
179,BS2,Leu-AMC,live,400,C,4691.293972,7109.172735,182.9325004,291.9553208,0.024811806,0.998481773,3,2013
180,BS2,Pyr-AMC,killed,0,A,16.23010767,1122.90902,0.77764589,1.292897196,0.030479553,0.997709528,3,2013
181,BS2,Pyr-AMC,killed,50,A,31.15392429,1868.262714,1.5447355,2.568243752,0.03154031,0.997547459,3,2013
182,BS2,Pyr-AMC,killed,100,A,31.76135979,2582.102594,7.206419829,11.98123737,0.142039538,0.95104018,3,2013
183,BS2,Pyr-AMC,killed,150,A,64.05867971,3356.786471,20.62368565,34.36593418,0.19828842,0.906082928,3,2013
184,BS2,Pyr-AMC,killed,200,A,68.07329633,3965.58831,6.532981044,10.94351064,0.060909736,0.99087385,3,2013
185,BS2,Pyr-AMC,killed,250,A,57.9696382,4633.119441,20.05069182,33.58726404,0.21199572,0.893148369,3,2013
186,BS2,Pyr-AMC,killed,300,A,105.5025747,5403.560356,30.00306294,50.25865471,0.176386809,0.925177832,3,2013
187,BS2,Pyr-AMC,killed,400,A,100.6372317,6784.677592,5.823547274,9.761722425,0.036798066,0.996662617,3,2013
188,BS2,Pyr-AMC,killed,400,B,123.4508125,6624.873871,19.32094394,32.62916205,0.098833835,0.976091125,3,2013
189,BS2,Pyr-AMC,killed,400,C,102.0658062,6616.575269,37.34571664,63.06935335,0.223305475,0.881926258,3,2013
190,BS2,Pyr-AMC,live,0,A,15.24683416,1101.422259,4.563831308,7.463695131,0.185155633,0.917769412,3,2013
191,BS2,Pyr-AMC,live,50,A,34.51818243,1902.834191,0.925433796,1.513455528,0.017063713,0.999281738,3,2013
192,BS2,Pyr-AMC,live,100,A,59.1386199,2707.810388,14.21578912,23.24851837,0.150181797,0.945373545,3,2013
193,BS2,Pyr-AMC,live,150,A,67.54278729,3422.276284,13.23388453,21.69173222,0.123174644,0.963029419,3,2013
194,BS2,Pyr-AMC,live,200,A,78.6408969,4008.708577,32.78018435,53.76442505,0.251422491,0.851969875,3,2013
195,BS2,Pyr-AMC,live,250,A,70.78553532,4625.166114,27.88617048,45.98322189,0.238912297,0.865651774,3,2013
196,BS2,Pyr-AMC,live,300,A,130.5681587,5507.791698,43.23851897,71.2986537,0.203584825,0.901173078,3,2013
197,BS2,Pyr-AMC,live,400,A,162.4534435,6712.59037,58.2038039,95.97583259,0.219017572,0.886238454,3,2013
198,BS2,Pyr-AMC,live,400,B,123.1051345,6843.141402,62.20984441,102.8136753,0.297880632,0.796579386,3,2013
199,BS2,Pyr-AMC,live,400,C,90.19559902,6793.902608,45.65160808,75.44802042,0.298286668,0.796065662,3,2013
200,BW,Arg-AMC,killed,0,A,7.333333333,238.5666667,NA,NA,NA,1,2,2013
201,BW,Arg-AMC,killed,50,A,13.34693878,658.3428571,NA,NA,NA,1,2,2013
202,BW,Arg-AMC,killed,100,A,14.69387755,1121.285714,NA,NA,NA,1,2,2013
203,BW,Arg-AMC,killed,150,A,19.17525773,1025.443299,NA,NA,NA,1,2,2013
204,BW,Arg-AMC,killed,200,A,40.40816327,2162.612245,NA,NA,NA,1,2,2013
205,BW,Arg-AMC,killed,250,A,50.81632653,2626.22449,NA,NA,NA,1,2,2013
206,BW,Arg-AMC,killed,300,A,84.48979592,3458.734694,NA,NA,NA,1,2,2013
207,BW,Arg-AMC,killed,400,A,42.24489796,3980.367347,NA,NA,NA,1,2,2013
208,BW,Arg-AMC,killed,400,B,40.20618557,2896.969072,NA,NA,NA,1,2,2013
209,BW,Arg-AMC,killed,400,C,38.35051546,3866.247423,NA,NA,NA,1,2,2013
210,BW,Arg-AMC,live,0,A,-0.529411765,250.5,NA,NA,NA,1,2,2013
211,BW,Arg-AMC,live,50,A,19.52941176,806.9745098,NA,NA,NA,1,2,2013
212,BW,Arg-AMC,live,100,A,19.41176471,1298.676471,NA,NA,NA,1,2,2013
213,BW,Arg-AMC,live,150,A,20.58823529,999.6568627,NA,NA,NA,1,2,2013
214,BW,Arg-AMC,live,200,A,35.64356436,2253.811881,NA,NA,NA,1,2,2013
215,BW,Arg-AMC,live,250,A,26.73267327,2816.108911,NA,NA,NA,1,2,2013
216,BW,Arg-AMC,live,300,A,60,2879,NA,NA,NA,1,2,2013
217,BW,Arg-AMC,live,400,A,95.04950495,4066.247525,NA,NA,NA,1,2,2013
218,BW,Arg-AMC,live,400,B,52.65306122,4076.734694,NA,NA,NA,1,2,2013
219,BW,Arg-AMC,live,400,C,42.85714286,3938.714286,NA,NA,NA,1,2,2013
220,BW,Gly-AMC,killed,50,A,17.41935484,1084.064516,NA,NA,NA,1,2,2013
221,BW,Gly-AMC,killed,100,A,30.32258065,1825.408602,NA,NA,NA,1,2,2013
222,BW,Gly-AMC,killed,150,A,-3525.652174,8846.695652,NA,NA,NA,1,2,2013
223,BW,Gly-AMC,killed,200,A,105.8064516,3304.258065,NA,NA,NA,1,2,2013
224,BW,Gly-AMC,killed,250,A,112.2580645,3694.322581,NA,NA,NA,1,2,2013
225,BW,Gly-AMC,killed,300,A,178.7234043,4621.382979,NA,NA,NA,1,2,2013
226,BW,Gly-AMC,killed,400,A,107.8723404,6050.638298,NA,NA,NA,1,2,2013
227,BW,Gly-AMC,killed,400,B,85.80645161,7237.827957,NA,NA,NA,1,2,2013
228,BW,Gly-AMC,killed,400,C,66.4516129,6084.956989,NA,NA,NA,1,2,2013
229,BW,Gly-AMC,live,0,A,6,239.6,NA,NA,NA,1,2,2013
