substrate,replicate,treatment,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,calib.se,location,year
Arg-AMC,3,live,4687.749487,8774.529055,70.81692158,106.9214354,3.12E-07,0.99908797,6,12.32677558,0.186218206,AC,2015
Arg-AMC,kill,killed,226.9735854,8068.168972,47.38512862,71.60080686,0.00871172,0.851543179,6,0.596843423,0.124602615,AC,2015
Gly-AMC,1,live,1897.61505,4695.392041,112.0992818,166.5096105,7.14E-05,0.986233324,6,4.989915723,0.294773152,AC,2015
Gly-AMC,2,live,1728.119694,4272.528686,61.9494663,94.18239508,9.82E-06,0.994885999,6,4.544215451,0.162900592,AC,2015
Gly-AMC,3,live,1740.478178,4596.111449,67.32386068,102.8062434,1.33E-05,0.994050652,6,4.576712976,0.17703295,AC,2015
Gly-AMC,kill,killed,244.7591855,4331.640724,11.22219151,17.13673786,2.61E-05,0.991661255,6,0.643611942,0.029509562,AC,2015
Leu-AMC,1,live,7178.03189,5509.857151,49.38973208,75.61078275,1.34E-08,0.999810661,6,18.87515288,0.129873865,AC,2015
Leu-AMC,2,live,7318.044104,5257.964845,28.28935636,43.55558935,1.34E-09,0.999940229,6,19.2433251,0.074388904,AC,2015
Leu-AMC,3,live,7314.500016,5618.144426,136.9210526,210.8243361,7.35E-07,0.998600339,6,19.23400567,0.360043789,AC,2015
Leu-AMC,kill,killed,55.55515356,4295.414055,24.28009603,37.41631745,0.08403331,0.566882836,6,0.146086286,0.063846265,AC,2015
Pyr-AMC,1,live,649.5981723,5210.337723,56.6624811,87.46816482,0.0003304,0.970464704,6,1.708165275,0.148998083,AC,2015
Pyr-AMC,2,live,588.926876,5837.195473,41.84136136,64.95463642,0.000147861,0.980209009,6,1.548625723,0.110024879,AC,2015
Pyr-AMC,3,live,621.9156082,5457.928814,53.28161061,82.79074469,0.000308019,0.971477696,6,1.635371974,0.14010784,AC,2015
Pyr-AMC,kill,killed,270.8619293,4841.884746,23.5824523,36.64320137,0.000328005,0.970571408,6,0.712250991,0.06201176,AC,2015
GlyGlyArg-AMC,1,live,1561.950402,6115.320767,62.15401555,96.74350849,1.49E-05,0.993706071,6,4.107261306,0.163438469,AC,2015
GlyGlyArg-AMC,2,live,1558.318818,6358.202765,13.94601293,21.77444631,3.85E-08,0.999679736,6,4.097711792,0.036672047,AC,2015
GlyGlyArg-AMC,3,live,1484.924666,6644.424571,41.4989642,64.79392873,3.64E-06,0.996885624,6,3.904716575,0.109124521,AC,2015
GlyGlyArg-AMC,kill,killed,-93.73203822,6157.446946,187.0029146,292.9795219,0.642535532,0.059096846,6,-0.246475159,0.49173766,AC,2015
Arg-AMC,1,live,3061.020255,5653.927232,54.13884577,50.41436693,3.27E-08,0.998438375,7,2.009652608,0.035543794,PP,2015
Arg-AMC,2,live,3703.402519,4829.311378,1057.031222,987.8649266,0.017218228,0.710566627,7,2.431396041,0.693973047,PP,2015
Arg-AMC,3,live,3300.335189,5510.454116,76.18554639,71.20038426,1.24E-07,0.997342682,7,2.166770117,0.050018121,PP,2015
Arg-AMC,kill,killed,20.69017254,5270.694174,43.94186475,41.52761773,0.657571579,0.042457958,7,0.013583726,0.028849167,PP,2015
Gly-AMC,1,live,1718.217768,4582.69877,29.55236397,28.02903448,2.85E-08,0.998523083,7,1.128062061,0.019402023,PP,2015
Gly-AMC,2,live,1676.722183,4676.598841,61.49552993,58.32563278,1.24E-06,0.993319273,7,1.100818951,0.04037368,PP,2015
Gly-AMC,3,live,1644.992432,4671.41078,48.9302309,46.47247672,4.38E-07,0.995595671,7,1.079987408,0.03212418,PP,2015
Gly-AMC,kill,killed,241.6306533,4176.263023,18.93259275,18.10577102,5.25E-05,0.970217893,7,0.15863785,0.012429821,PP,2015
Leu-AMC,1,live,7334.346571,5215.243252,30.12601641,28.99415594,2.22E-11,0.999915648,7,4.815220901,0.019778643,PP,2015
Leu-AMC,2,live,7029.091518,5208.497343,79.307142,76.32750413,3.47E-09,0.999363908,7,4.614811703,0.052067543,PP,2015
Leu-AMC,3,live,6663.483855,5482.457156,87.90357068,84.71866896,7.57E-09,0.999130634,7,4.374779187,0.057711359,PP,2015
Leu-AMC,kill,killed,154.5143605,4403.07749,25.07184431,24.46098715,0.00163708,0.88366923,7,0.101443363,0.016460426,PP,2015
Pyr-AMC,1,live,241.1449136,4680.482655,46.65480151,45.55792386,0.003558731,0.842348444,7,0.158318947,0.030630292,PP,2015
Pyr-AMC,2,live,289.7309286,4434.627066,59.0685515,57.67982039,0.004455098,0.827936104,7,0.190217139,0.038780295,PP,2015
Pyr-AMC,3,live,310.5020182,4425.012614,42.83483933,41.88604443,0.000780285,0.913112058,7,0.203853989,0.028122371,PP,2015
