fluorophore,site,when,sample.type,substrate,treatment,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se,fluorimeter
AMC,BS2016,PEEC2016,filter,Arg-AMC,live,3,122086.7535,103327.0382,60618.43853,41990.39427,0.137448064,0.57484662,5,110.0305094,1109.571828,550.9239106,UT
AMC,BS2016,PEEC2016,filter,Leu-AMC,live,1,112264.6712,158677.9426,7442.924455,5155.714003,0.000632619,0.986985336,5,110.0305094,1020.30493,67.64418792,UT
AMC,BS2016,PEEC2016,filter,GGR-AMC,live,3,110500.7199,177028.7926,4248.670091,2899.455782,0.000124689,0.995584548,5,110.0305094,1004.273455,38.61356377,UT
AMC,BS2016,PEEC2016,filter,Leu-AMC,live,3,111746.463,152551.1727,6057.182355,4161.420937,0.000347541,0.99126257,5,110.0305094,1015.595253,55.05002556,UT
AMC,BS2016,PEEC2016,filter,GGR-AMC,live,1,115036.6184,176208.3443,4936.157877,3409.762188,0.000173085,0.994506681,5,110.0305094,1045.497462,44.86171975,UT
AMC,BS2016,PEEC2016,filter,GGR-AMC,live,2,118900.2907,176769.3621,5445.071814,3687.447945,0.000210215,0.993747715,5,110.0305094,1080.612017,49.48692725,UT
AMC,BS2016,PEEC2016,filter,Pyr-AMC,live,3,1905.953695,142870.6596,616.2205617,429.1479624,0.053588918,0.761269727,5,110.0305094,17.32204736,5.600451775,UT
AMC,BS2016,PEEC2016,whole,Leu-AMC,live,2,3089304.527,405453.143,520381.5241,245922.7138,0.027220889,0.946299199,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Leu-AMC,live,3,3378667.459,359983.7959,726494.2899,343327.8068,0.043257365,0.915356471,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Leu-AMC,killed,k,9292.215588,93395.31165,21358.10484,9944.842679,0.705960588,0.086459176,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,GGR-AMC,live,2,1377741.512,374378.388,94013.6859,43775.01295,0.004624089,0.990773204,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Gly-AMC,live,1,734235.0196,266086.0825,77564.30036,36655.45827,0.010976326,0.978167828,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Gly-AMC,live,2,779555.0527,261138.1138,57541.37424,26416.68584,0.005404247,0.989220712,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Gly-AMC,live,3,861790.8055,289798.7254,84282.62449,39287.96971,0.009429648,0.981229621,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Gly-AMC,killed,k,19019.75891,146566.1074,5246.393428,2479.348804,0.068375539,0.867924137,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Pyr-AMC,live,2,8157.607636,146091.7621,6677.231742,3155.536611,0.346276304,0.42735467,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Pyr-AMC,live,3,8624.522516,156969.9241,9149.791146,4260.360841,0.445388103,0.307594356,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Pyr-AMC,killed,k,43865.26036,115250.1835,103607.3614,48962.92876,0.713201729,0.082253248,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Arg-AMC,live,2,707210.5183,180161.8726,81144.43696,37825.11758,0.012910577,0.974345529,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Leu-AMC,live,1,3866553.285,495100.5769,549573.9685,252304.0693,0.019610164,0.961164231,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Arg-AMC,killed,k,10371.1992,95000.27947,5261.852965,2452.789304,0.187505377,0.660147513,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,GGR-AMC,live,1,627119.6974,300601.5897,60030.77259,28759.30712,0.009039143,0.98200342,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Pyr-AMC,live,1,-857.3083636,157753.6249,30769.72855,14541.2064,0.980302363,0.000387997,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,GGR-AMC,live,3,559947.9842,258194.9552,25156.348,11936.38596,0.002012275,0.995979499,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,GGR-AMC,killed,k,17283.35349,151762.5105,5493.03392,2631.581149,0.08789717,0.831931572,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Arg-AMC,live,1,768885.3363,53167.72747,343405.9524,160077.1539,0.154529746,0.71481995,4,NA,NA,NA,UT
AMC,BS2016,PEEC2016,whole,Arg-AMC,live,3,733982.594,182357.3881,90724.05324,41650.53137,0.014936788,0.970349531,4,NA,NA,NA,UT
AMC,FP2016,PEEC2016,filter,Arg-AMC,live,1,27948.03896,105115.5237,943.7713674,921.2989764,8.46E-05,0.99659067,5,136.7559867,204.3642815,6.90113384,UT
AMC,FP2016,PEEC2016,filter,Arg-AMC,live,2,27557.05367,110666.7135,761.8914383,743.7498386,4.65E-05,0.997712047,5,136.7559867,201.5052821,5.5711743,UT
AMC,FP2016,PEEC2016,filter,Arg-AMC,live,3,27117.43888,110600.6243,501.4540683,492.0329508,1.39E-05,0.998975196,5,136.7559867,198.2906894,3.666779645,UT
AMC,FP2016,PEEC2016,filter,Arg-AMC,killed,k,2545.177484,95917.93091,349.4694899,345.4468541,0.005343509,0.946468454,5,136.7559867,18.6110864,2.555423704,UT
AMC,FP2016,PEEC2016,filter,Leu-AMC,live,2,63497.81901,154306.2794,1015.169202,999.3388508,9.00E-06,0.99923379,5,136.7559867,464.3147299,7.423215808,UT
AMC,FP2016,PEEC2016,filter,Leu-AMC,live,3,62704.8699,150448.3546,1565.308291,1563.089198,3.42E-05,0.998134018,5,136.7559867,458.5164528,11.44599465,UT
AMC,FP2016,PEEC2016,filter,Leu-AMC,killed,k,1795.526662,130180.8507,479.4645419,471.987865,0.033233421,0.823777802,5,136.7559867,13.12941909,3.50598576,UT
AMC,FP2016,PEEC2016,filter,GGR-AMC,live,2,92569.00717,230110.222,14047.60981,13874.06438,0.007112121,0.935377767,5,136.7559867,676.8918088,102.7202549,UT
AMC,FP2016,PEEC2016,filter,Gly-AMC,live,1,15378.3241,179318.9839,537.4713261,527.3735309,9.37E-05,0.996348887,5,136.7559867,112.4508292,3.930148429,UT
AMC,FP2016,PEEC2016,filter,Gly-AMC,live,2,13081.11587,165879.7947,1316.088718,1282.126818,0.002166647,0.97052797,5,136.7559867,95.65296695,9.623627824,UT
AMC,FP2016,PEEC2016,filter,Gly-AMC,live,3,15439.95093,201046.3017,857.724144,844.3489604,0.000373914,0.990826767,5,136.7559867,112.9014627,6.271931232,UT
AMC,FP2016,PEEC2016,filter,Gly-AMC,killed,k,48749.70869,148405.0658,18447.91587,18008.64764,0.07748584,0.699492708,5,136.7559867,356.4722092,134.8965871,UT
AMC,FP2016,PEEC2016,filter,Pyr-AMC,live,2,1047.146966,160523.7271,897.4092482,896.1370166,0.327586506,0.312171429,5,136.7559867,7.657046624,6.562120387,UT
AMC,FP2016,PEEC2016,filter,Pyr-AMC,live,3,-2592.142851,190141.4795,2822.476059,2778.462916,0.426140735,0.21945048,5,136.7559867,-18.95451098,20.63877515,UT
AMC,FP2016,PEEC2016,filter,Pyr-AMC,killed,k,2027.079162,165649.7206,746.2687393,740.7967701,0.072777095,0.710932766,5,136.7559867,14.82259908,5.45693653,UT
