"","fluorimeter","substrate","when","treatment","site","slope","int","slope.se","int.se","pval","rsq","n"
"167","UT","Arg-AMC","TN2015","live","GSMIT",14815.1922619889,124846.837595278,771.388335801079,780.412458737301,1.78551240928973e-12,0.958427072602487,18
"168","UT","Arg-AMC","TN2015","live","HESLER",82544.9247462277,138673.419933699,4019.57242500335,4083.26923802188,6.36336290860039e-13,0.963446695947666,18
"169","UT","Arg-AMC","TN2015","live","IJAMS",10767.3236180393,138094.283852636,563.658963308729,537.13986827743,1.93985409895426e-12,0.957995042745605,18
"170","UT","Arg-AMC","TN2015","live","LECONTEMID",3194.51864840356,136223.111977405,1207.55790561427,1060.74210400741,0.0176325158890142,0.304297559189314,18
"171","UT","Arg-AMC","TN2015","live","LECONTEPEAK",2180.8595106948,133731.831445641,668.701353132586,638.435688313491,0.00490264682648496,0.399316190256749,18
"172","UT","Arg-AMC","TN2015","live","SISBP",49955.3416744834,143413.044908733,1014.16979406643,1001.23014016518,6.68267546188646e-19,0.993448768687413,18
"173","UT","Arg-AMC","TN2015","live","SPP",22304.3585927833,127382.111785372,420.38472773092,418.235140039637,2.04915957116277e-19,0.994348380227182,18
"174","UT","Arg-AMC","TN2015","live","THIRDCREEK",39411.1094345598,137274.99315115,619.951725272199,614.435637588207,1.15058891818373e-20,0.996056495150617,18
"175","UT","Arg-AMC","TN2015","live","TNRIV",80136.9501812599,127999.1025338,1477.46253505677,1491.55434823125,1.44277745873894e-19,0.994590815923518,18
"176","UT","Arg-AMC","TN2015","live","TNRIV2",33434.6576885149,136258.169465415,632.355635199008,638.188755650301,2.16552763944317e-19,0.994309237242974,18
"177","UT","Arg-AMC","TN2015","live","WATERPLANT",59746.0184057823,145469.62457328,588.245203065227,560.569371654297,6.50075471902535e-24,0.998451376822443,18
"178","UT","Arg-AMC","TN2015","live","WFPC",59746.0184057823,145469.62457328,588.245203065227,560.569371654297,6.50075471902535e-24,0.998451376822443,18
"179","UT","Gly-AMC","PEEC2013","killed","BS",-41.9025894774686,2951.57659347001,424.977924720336,487.922209761984,0.922184692113601,0.000359938970069711,29
"180","UT","Gly-AMC","PEEC2013","killed","EC",-22.616435488461,2949.10974535507,540.223685212793,883.297389242517,0.967067254974871,9.73612818491137e-05,20
"181","UT","Gly-AMC","PEEC2013","killed","FP",125835.47826087,-17554.9739130435,16602.2834013844,2749.00258960746,6.42794057228091e-05,0.877764479262231,10
"182","UT","Gly-AMC","PEEC2013","killed","FP2",128110,-17897,16324.1395671776,2702.9475921091,5.01262636314861e-05,0.885039843665596,10
"183","UT","Gly-AMC","PEEC2013","killed","LL",97.7962831169648,4614.36147108215,518.463093813596,843.834559752566,0.852756727129672,0.00221883150892461,18
"184","UT","Gly-AMC","PEEC2013","live","BS",8387.7073686852,13012.7550390704,3266.38893260721,3783.79338708035,0.0160848991471049,0.196285707312661,29
"185","UT","Gly-AMC","PEEC2013","live","EC",901.732892913776,4125.00507781975,561.194144368675,903.60438533616,0.125495536709653,0.125442683116862,20
"186","UT","Gly-AMC","PEEC2013","live","FP",334287.217391304,-28914.7,50746.2139653272,5877.95099873372,0.000171621826225302,0.844340581884788,10
"187","UT","Gly-AMC","PEEC2013","live","FP2",270513.391304348,-24300.6,32178.6300748985,3727.26152370436,3.05093322882607e-05,0.898310938472374,10
"188","UT","Gly-AMC","PEEC2013","live","LL",43686.3043478261,-5114.33985507246,24034.4688129123,4773.39583696501,0.106634659679622,0.292277114050821,10
"189","UT","Gly-AMC","PEEC2015","killed","AC",24806.8122270742,71142.031441048,15906.3199808054,13487.5839209082,0.216764621602849,0.447739389696719,5
"190","UT","Gly-AMC","PEEC2015","killed","BB1",1186.67765320523,50978.3776505755,198.955905297845,247.017442223696,0.000994995238661536,0.855684478001277,8
"191","UT","Gly-AMC","PEEC2015","killed","BB2",22467.7176148047,81837.0226182316,1959.88222520692,2358.78970675301,0.00142466646278745,0.977681716848321,5
